espanol,quechua_texto,cluster_id,cluster_label,tema_clean,tipo_habla_clean,nivel_formalidad
"Buenos días, vengo acompañando a mi madre que no se siente bien","Allin p'unchay, mamayta yanapaykuspa hamuni,payqa mana allinchu kashan",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,otros,formal
"Doctor, me duele mucho la cabeza desde hace tres días y no se me quita","Doktor ,kinsa p'unchaymanta pacha umayqa anchata nanaykuwashan manan Chay nanayqa chinkanchu",11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,paciente,formal
Tengo un dolor muy fuerte en el estómago que aparece después de comer,Mikhuyta tukuruspan wiksayqa anchata nanaykuhuan,3,EVALUACION_INTENSIDAD_DOLOR,COND_ESPECIALIZADA,paciente,informal
Me duele el pecho cuando respiro profundo o cuando me muevo,Sumaqta samaykuyta hap'irqaptin utaq kuyiriktin sunquy nanaykuwan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
Siento un dolor punzante en la espalda baja que no me deja dormir,"Qhipa uranpi nanayqa t'iksichkallañam kashan ,chaymi puñuyta mana saqiwanchu",3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
"Doctor, el dolor en mis rodillas ha empeorado con el frío",Doktor chiriwan ñuqaq muqoykunapi nanayqa  astawanmi nanaykushan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,formal
Tengo dolores musculares en todo el cuerpo y me siento muy débil,Llapa cuerpoypi aychay nanaykushan anchata waqlla kashani,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
Me duele mucho la garganta al tragar y tengo la voz ronca,"Mikuyta millp'uchkaptin sunquykuna manaqa anchata nanaykuhuan ,hinallataq  rimayniyqa q'ipim kashan ",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,informal
Siento un dolor agudo en el costado derecho que viene y se va,Paña ladunpin nanayqa t'iksichkallañan  hamuni chaymanta ripun,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
"Doctor, me duelen los oídos y siento presión en la cabeza","Doktur ,rinrikuna nanaykuwashan, umaypiqa ñit'iyta hina rikch""akun",1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,paciente,formal
Tengo un dolor constante en el cuello que se extiende hasta los hombros,Kunkaypi nanayqa Sapa kutin kashan Chay nanayqa rikra kamallan chayamun,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
Me duele mucho una muela y tengo la cara hinchada de ese lado,"Huk kiruymi anchata nanawan, Chay  uyayqa punkisqa kashan ",2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,paciente,informal
Siento ardor y dolor al orinar desde hace dos días,"Iskay p'unchaymantaña ,ismutay ruwaspa nina hina q'alaqmi,anchata nanawan.",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo calambres muy fuertes en las piernas por las noches","Doktur ,tutakunapi chakiykunapi anchata kallpa tiksichkallañan nanawan",2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,paciente,formal
Me duele el abdomen del lado izquierdo y también tengo náuseas,"Lluq'i llaqtaymata. Wiksay anchata nanawan, hinallataq sonqo muyuywan kashani",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
Siento un dolor punzante detrás de los ojos que empeora con la luz,Ñawikuna qhipanpi T'iksiy hina anchata nanawan K'anchaywanqa Aswan kalpachkanmi,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,paciente,informal
"Doctor, me duelen todas las articulaciones cuando me levanto por la mañana",Doktura paqarinanpi sayarispa llapan tulluykuna anchata nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,paciente,formal
Tengo un dolor muy intenso en el talón que no me deja caminar bien,"Chakipa t'iqrinpi anchata kallpa nanaymi kashan , Allin puriyta mana atiniychu",3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
Me duele el brazo derecho y siento hormigueo en los dedos,"Allin makiypi ancha nanaymi, hinallataq ruk'anakunapi kiskichkallañam",2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,paciente,informal
Siento presión y dolor en el pecho que me asusta mucho,"Ñuqaqa sunquypa t'iqrinpi ñit'iyta hina apretaymi  , hinallataq anchata manchachiwan",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,paciente,informal
"Doctor, tengo dolor de muelas que no me deja comer ni dormir","Doktor kiruymi ancha nanaymi, mana Mikuyta ni puñuyta atiniychu",3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,formal
Me duele la parte baja del abdomen y también tengo fiebre,"Wiksaypi uraypi ancha nanaymi, hinallataq K'anchaywanqa kashan",0,MANEJO_FIEBRE_PREVENCION,COND_ESPECIALIZADA,paciente,informal
Siento un dolor sordo en la zona del hígado que me preocupa,Ñuqapa hígado kaq patapi  pisi pisi nanay manchaciwashan,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,paciente,informal
"Doctor, me duelen los huesos como si tuviera gripe",Doktur Llapa tulluykuna nanawan gripe hina nanaywan,1,SALUD_PEDIATRICA_FAMILIAR,COND_ESPECIALIZADA,paciente,formal
Tengo un dolor pulsátil en la sien derecha que dura horas,"Paña sienapi t'iksichkallañan nanay kashan, horakunata mana tukuchispa",3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,paciente,informal
Me duele el estómago y siento que me arde por dentro,"Wiksay nanawan,ukhuypi nina hina ruphayta sientikuni ",3,EVALUACION_INTENSIDAD_DOLOR,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo fiebre alta desde anoche y no me baja con nada","Doktur tutamanta Aswan ruphaywan kashani,imaywanpas mana uraykinchu",0,MANEJO_FIEBRE_PREVENCION,COND_ESPECIALIZADA,paciente,formal
Me siento muy débil y cansado aunque descanse todo el día,"Ancha pisi kallpayuqmi kani,llapan p'unchaymantaña samaqtiypas",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
Tengo escalofríos y sudores nocturnos que me despiertan,Chiri chiriwanmi kani tutaqa ñaq'achkani ch'iqchiwan chaymi puñuyniyta p'a dekichin,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, mi temperatura sube y baja constantemente durante el día","Doktur, p'unchaypi  ruphayniyqa wicharin hinaspa uraykun Sapa kutin ",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,formal
Me siento mareado y con náuseas casi todo el tiempo,"Umayqa muyunmi , hinallataq millay onqoyniywanmi kani Aswan p'unchaykama",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
Tengo mucha fiebre acompañada de dolor de cuerpo,Anchata ruphayniyuqmi kani aychayqa nanayshanmi,0,MANEJO_FIEBRE_PREVENCION,COND_ESPECIALIZADA,paciente,informal
"Doctor, sudo mucho por las noches y amanezco con la ropa empapada",Duktur tutapi anchata unp'ni paqarinnita p'achayqa llapan uno hina kashan,2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,formal
Me siento muy cansado y sin energía para hacer mis actividades diarias,"Anchata sayk'usqallaña kani,mana kallpayuqmi kani Sapa p'unchay ruwanaykunapaq",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
Tengo la sensación de que me voy a desmayar cuando me pongo de pie,Sayarispa desmayayman hina  yuyaymi kani,5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, siento que todo me da vueltas y pierdo el equilibrio","Doktur llapallan muyunmi hina rikch'akun, hinaspa equilibrioyta chinkashan",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,formal
Tengo temblores en el cuerpo y me siento muy débil,Aychaypi ch'iqchiyuqmi Kana hinaspa Anchata pisi Kallpayuqmi kani,11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
Me siento confundido y con dificultad para concentrarme,"Yuyayniqa pantaychasqami kashan, mana allinta yuyayman churakuyta atishanichu",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo náuseas constantes y he vomitado varias veces","Doktur Sapa kuti millay onqoyniyuqmi kani,askha kutita q'ipiykuni",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,formal
Siento que me falta el aire incluso cuando estoy en reposo,"Samayniyqa pisi kanman hina yuyaymi kani, samashaqtipas",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
Tengo palpitaciones fuertes que me asustan mucho,"Sonqoymi  sinchita takin ,chaymi anchata mancharichiwan",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, me siento ansioso y con miedo sin razón aparente","Doktur, imay raykucha hukman mancharisqan kashani.",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,formal
Tengo problemas para dormir y me despierto muchas veces en la noche,"Sasatan puñuyta atini, tutatakmi sapa kuti rikcharini",7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,paciente,informal
Me siento hinchado y pesado después de cada comida,Sapa mijuktiymi p'unkisqa llasasqa wiksay kan.,10,INSTRUCCIONES_MEDICACION_DOSIS,COND_ESPECIALIZADA,paciente,informal
"Doctor, he perdido el apetito completamente en las últimas semanas","Doktur, manan mijunayawanchu kay qepa semanakunapi",9,OBSERVACION_CAMBIOS_SINTOMAS,COND_ESPECIALIZADA,paciente,formal
Siento que mi corazón late muy rápido o se salta latidos,Sonqoypas kuyurin supayta otaq phawan kuyurispa,1,SALUD_PEDIATRICA_FAMILIAR,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo mucha tos con flema amarilla desde hace una semana","Doktur, huk semanañan supay qellu flemayoj ujuyan kani.",9,OBSERVACION_CAMBIOS_SINTOMAS,COND_ESPECIALIZADA,paciente,formal
Me falta el aire cuando subo escaleras o hago esfuerzos pequeños,"Escalerata seqaytimi mana samayniyuq kani, otaq kallpachakuni chikanta.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
Tengo tos seca que me irrita mucho la garganta,"Ch'aki ujuwanmi kani, tonqorniytaq q'arawan supayta.",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, respiro con dificultad y escucho silbidos en mi pecho","Doktur, sasatan samayniy lloksimun, hinataq qasqoypis silvarin.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,formal
Tengo congestión nasal severa que no me deja respirar bien,"Senqaypi qoña hunt'ayuq kani, chaymi hark'awashan allinta samayta.",7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,paciente,informal
Me duele el pecho cuando toso y la tos es muy persistente,"Qasqoymi nanawan ujuktiy, ujuypas sinchi mana tukukuq.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, toso sangre en pequeñas cantidades y estoy muy preocupado","Doktur, pisi yawarta ujushani chaymi ancha llakisqa kashani.",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,formal
Tengo mucha flema que no puedo expulsar fácilmente,Achka flemayukmi kani manataqmi chaytaqa qarkuyta atinichu.,7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,paciente,informal
Siento opresión en el pecho y dificultad para respirar hondo,"Qasqoymi ñit'ywan, chaytaqmi sasatan samaytapas atini.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo tos que empeora por las noches y no me deja dormir","Doktur,ujuwanmi kani chaymi tuta ashwanta yapakun mana puñuchiwaspa.",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,formal
Me ahogo fácilmente y tengo que parar constantemente para respirar,"Faciltan samayniy chinkapun, samanaypaqtaqmi sayani sapa kutilla",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
Tengo la nariz tapada y dolor en los pómulos y frente,"Senqaymi wichqasqa, uyaypas mat'iypas nanawanmi.",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, escucho ruidos raros cuando respiro profundo","Doktur, allinta samaykuqtiymi mana riqsisqa qapariykunata uyarini.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,formal
Tengo secreción nasal verde y mal olor en la nariz,Qomer qoña  senqaypi kan chaytaqmi millayta asnan.,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
Me cuesta mucho respirar cuando estoy acostado,Puñuspa kaspayqa anchatan kallpachakuni samykunaypaq,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo diarrea desde hace tres días y me siento muy débil","Doktur, kimsa p'unchayñan q'echawan kashani, mana kallpaypas kanñachu.",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,formal
Sufro de estreñimiento severo y me duele cuando voy al baño,Ñisuta ñaqarini akakunaypaq chaytaq nanawan hisp'akuy riktiy.,5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,informal
Tengo acidez estomacal que sube hasta la garganta,"Wiksa nanayniyuqmi kani, chaymi kunkaykama wicharin.",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,informal
"Doctor, vomito todo lo que como y tengo el estómago revuelto","Doktur, llapa mijusqaytan kutichimuni, chaymi wiksaypas tiqrakun.",3,EVALUACION_INTENSIDAD_DOLOR,COND_ESPECIALIZADA,paciente,formal
Tengo gases excesivos y hinchazón abdominal muy molesta,"Wiksaymi p'unkin ñisuta, supinayawanmi anchata.",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
Me sale sangre cuando voy al baño y estoy muy preocupado,"Hisp'aq riqtiymi, yawar lloqsimun, chaymi ancha llakisqa kashani.",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo náuseas constantes especialmente por las mañanas","Doktur, sapa achijaymi sonqomuyuywan kani.",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,formal
Siento que la comida se me queda atorada en el pecho,"Mijuna mijusqaymi, qasqoy uhullapi tarikun.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
Tengo mucha sed todo el tiempo y la boca muy seca,"Anchatan ch'akiwan sapakuti, chaymantapas simiy ch'akillaña",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, he notado que mis heces son muy oscuras o negras","Doktur, hatun hispayta ruwaqtiymi , ñisu yanallaña lloqsimun",9,OBSERVACION_CAMBIOS_SINTOMAS,COND_ESPECIALIZADA,paciente,formal
Tengo cólicos intestinales muy fuertes que aparecen de repente,Sinchitan ch'unchilniykuna nanan nanan qonqayllamanta rijurin,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
Me duele el estómago y tengo eructos constantes con mal sabor,"wiksaymi nanawan, qapapakuni asnallataña sapa kuti.",3,EVALUACION_INTENSIDAD_DOLOR,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo la lengua blanca y mal aliento persistente","Doktur, qalluypas yuraqllañan asnallañataq",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,formal
Siento ardor en la boca del estómago después de cada comida,Wiqsay q'uchupin sinchita rup'an sapa mijuyta tukuqtiy,3,EVALUACION_INTENSIDAD_DOLOR,COND_ESPECIALIZADA,paciente,informal
Tengo dificultad para tragar incluso líquidos,Sasatan  millp'uni unutapis,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, he perdido mucho peso sin hacer dieta ni ejercicio","Doktur, sinchitan tulluyaruni, allintan mijuchanipas.",9,OBSERVACION_CAMBIOS_SINTOMAS,DIAGNOSTICO,paciente,formal
Tengo reflujo ácido que me quema la garganta por las noches,"Hayaqniytan kutichini sapa tuta, chaymi tonqoriyta q'arachin",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,informal
Siento náuseas cuando huelo ciertos alimentos,Sonqoymi muyun wakin mijunakunawan,11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo hipo frecuente que dura mucho tiempo","Doktur, sinchitan hiq'ipakuni mana tukukuq hina",11,SINTOMAS_DIGESTIVOS_MALESTAR,COND_ESPECIALIZADA,paciente,formal
Tengo inflamación abdominal que empeora durante el día,Wiksaymi ñisuta p'unkin tukuy p'unchay,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,informal
"Doctor, me salió un sarpullido rojo que me pica muchísimo","Doktur, puka granoskunan lloqsiruwan, chaymi sinchita seqsiwan",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,formal
Tengo manchas en la piel que han ido creciendo de tamaño,"Qara muru lloqsiruwan, chaymi wiñaykushan",6,SINTOMAS_SISTEMICOS_PIEL,DIAGNOSTICO,paciente,informal
Me salen ronchas por todo el cuerpo que aparecen y desaparecen,"Granuskunan lloqsiruwan llapa cuerpuypi, chinkaruntaq rijurimuntaq",2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo la piel muy seca y agrietada en las manos","Doktur, ch'akillaña cuerpuypas, makiypas p'aspallana, .",6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,paciente,formal
Tengo una herida que no cicatriza y se ve infectada,"Qirin kashan mana chinkaq, hinaspapas infectakuchanmi",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,informal
Me pica todo el cuerpo especialmente por las noches,Sapa tutantan cuerpuy seqsen,2,DOLOR_LOCALIZADO_ESPECIFICO,COND_ESPECIALIZADA,paciente,informal
"Doctor, tengo ampollas en los pies que me duelen mucho","Doktur, chakiykunapi phusullukuna kashan, anchatan nanawan",5,DIAGNOSTICO_PROCEDIMIENTOS,SINTOMAS,paciente,formal
Noto cambios en un lunar que me preocupan bastante,"Huk lunarniypin tikrakuykunatan reparani,chaymi anchata llakikuni.",9,OBSERVACION_CAMBIOS_SINTOMAS,DIAGNOSTICO,paciente,informal
Tengo hongos en las uñas de los pies que no se curan,"Chaki silluykunapin k'allanpakuna kashan, manataqmi qaliyanchu",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,informal
"Doctor, me sale pus de una herida y está muy inflamada","Doktur, huk k'iriymi  ñisu p'unkiskqa, q'eataqmi lloqsimushan.",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,formal
¿Puedo seguir amamantando a mi bebé con este tratamiento?,Kay hampiwan wawayta ñuñuchiytaqa atiniychu?,4,SEGUIMIENTO_CONTROL_MEDICO,TRATAMIENTO,paciente,formal
¿Cuándo debo regresar para la próxima consulta?,Hayk’aqmi kutimunay kachkan hamuq tapukuypaq?,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,paciente,formal
"Doctor, ¿qué tan grave es mi condición realmente?","Doktur, imaynatan kashan unquyniyqa, ancha chanikuychu?",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,paciente,formal
¿Puedo hacer ejercicio o debo guardar reposo absoluto?,Ejerciciota ruwasaqchu utaq llapan samaypi kakunaychu?,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,paciente,formal
¿Este problema puede volverse crónico o se cura completamente?,Kay sasachakuyqa unay unaypaqchu tukukunman utaq allintachu hampikun?,7,PROBLEMAS_FUNCIONALES_SUENO,DIAGNOSTICO,paciente,formal
"Doctor, ¿hay alguna forma de prevenir que esto vuelva a pasar?","Doktur, kanchu imayna mana kutimunanpaq kayqa?",9,OBSERVACION_CAMBIOS_SINTOMAS,DIAGNOSTICO,paciente,formal
¿Necesito hacerme más análisis o exámenes complementarios?,Astawan análisis utaq qhawaykuna ruwanaypaqchu kani?,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,paciente,formal
¿Puedo viajar a la sierra con este problema que tengo?,Kay unquywanqa sierraman risaqchu?,7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,paciente,formal
"Doctor, ¿cuánto va a costar todo el tratamiento aproximadamente?","Doktur, llapan hampiyqa hayk’a qullqichu kanqa?",4,SEGUIMIENTO_CONTROL_MEDICO,COND_ESPECIALIZADA,paciente,formal
¿Hay algún remedio casero que pueda usar como complemento?,Kanachu wasipi ruwasqa hampi yanapananpaq?,9,OBSERVACION_CAMBIOS_SINTOMAS,TRATAMIENTO,paciente,formal
¿Debo cambiar algo en mi estilo de vida?,Kawsayniypi imatapas tikranaychu?,0,MANEJO_FIEBRE_PREVENCION,COND_ESPECIALIZADA,paciente,formal
"Doctor, ¿esto afectará mi capacidad de tener hijos en el futuro?","Doktur, kayqa wawata hap’iy atiyniyta hamuq p’unchaykunapi hark’anmanchu?",1,SALUD_PEDIATRICA_FAMILIAR,DIAGNOSTICO,paciente,formal
¿Puedo combinar este medicamento con mis otras pastillas?,Kay hampita wakin pastillaykunawan kuskachaspa upyayta atiniychu?,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,paciente,formal
¿Qué debo hacer si los síntomas empeoran en casa?,Wasipi kashaspa ashwanta nanariptinqa imatan ruwanay?,0,MANEJO_FIEBRE_PREVENCION,COND_ESPECIALIZADA,paciente,formal
"Doctor, ¿necesito que alguien me cuide en casa?","Doktur, wasipi pipas qhawawananchu?",5,DIAGNOSTICO_PROCEDIMIENTOS,COND_ESPECIALIZADA,paciente,formal
"Según sus síntomas, usted tiene una infección respiratoria aguda","Unquyniykikunamantaqa, qanqa sinchi samay ñanpi infecciónniyuqmi kanki.",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,medico,formal
Los resultados indican que tiene los niveles de azúcar muy elevados,Resultadosqa rikuchkanmi yawarniykipi asukarniyqa ancha wicharisqa kasqanta.,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,medico,formal
Su presión arterial está muy alta y necesitamos controlarla urgentemente,"Yawar ñit’iyniykiqa ancha wichaypi kashan, utqaylla controlananchikmi.",5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,medico,formal
Tiene una gastritis severa que requiere tratamiento inmediato,"Sinchi wiksa q’uchu unquywanmi kanki, utqaylla hampinanchikmi.",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,medico,formal
Los análisis muestran que tiene anemia y necesita suplementos de hierro,"Análisisqa rikuchkanmi anemiawan kasqaykita, fierro hampikuna necesitanki.",5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,medico,formal
Usted presenta signos de una infección urinaria que debe tratarse,Ismutay ñanpi infección señalkunata rikuchkanki.,0,MANEJO_FIEBRE_PREVENCION,DIAGNOSTICO,medico,formal
Su dolor de cabeza parece ser de tipo tensional por estrés,Umananaykiqa estrésmanta hina kashan.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,medico,formal
Tiene una inflamación en las articulaciones compatible con artritis,Tulluy tinkunakunapi p’unkayqa artritisman rikch’akun.,6,SINTOMAS_SISTEMICOS_PIEL,DIAGNOSTICO,medico,formal
Los síntomas indican que podría tener cálculos en la vesícula,Vesículaykipi rumi hina rumikuna kanman.,7,PROBLEMAS_FUNCIONALES_SUENO,DIAGNOSTICO,medico,formal
Usted tiene una bronquitis que requiere antibióticos y reposo,"Bronquitisniyuqmi kanki, antibiótico hampiwan samaywanmi alliyanki.",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,medico,formal
Su nivel de colesterol está muy elevado y debemos bajarlo,Colesterolniykiqa ancha wicharisqa kashan.,0,MANEJO_FIEBRE_PREVENCION,DIAGNOSTICO,medico,formal
Tiene una dermatitis alérgica causada por contacto con alguna sustancia,Alergia qara unquywanmi kanki.,9,OBSERVACION_CAMBIOS_SINTOMAS,DIAGNOSTICO,medico,formal
Los resultados sugieren que tiene problemas de tiroides,Tiroides glandulaykipi sasachakuy kan.,7,PROBLEMAS_FUNCIONALES_SUENO,DIAGNOSTICO,medico,formal
Usted presenta signos de deshidratación severa por la diarrea,Q’echa unquymanta ancha ch’akiywanmi kanki.,11,SINTOMAS_DIGESTIVOS_MALESTAR,DIAGNOSTICO,medico,formal
Tiene una contractura muscular en la espalda que causa el dolor,Wasapi aycha sinchi churakusqa kashan.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,medico,formal
Sus síntomas son compatibles con un cuadro de migraña crónica,Unay uman unquywanmi kanki.,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,medico,formal
Usted tiene una infección en la garganta causada por bacterias,Kunkaykipi bacteria infecciónniyuqmi kanki.,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,medico,formal
Los estudios muestran que tiene un problema en el hígado,Hígadoniypi sasachakuy kan.,7,PROBLEMAS_FUNCIONALES_SUENO,DIAGNOSTICO,medico,formal
Tiene una inflamación en el estómago por exceso de ácido,Wiksaykipi ácido rayku p’unkay kan.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,medico,formal
Su corazón está funcionando con un ritmo irregular que debemos corregir,Sonqoyki mana kuska takishan.,1,SALUD_PEDIATRICA_FAMILIAR,DIAGNOSTICO,medico,formal
Debe tomar este medicamento cada ocho horas durante siete días completos,"Kay hampita sapa pusaq horapi, qanchis p’unchaykama upyay.",10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,medico,formal
Es importante que tome las pastillas con alimentos para proteger su estómago,Mikhunawan kuska upyay.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,medico,formal
Necesita guardar reposo absoluto en cama durante al menos tres días,Kimsa p’unchay cama samaypi kakuy.,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,medico,formal
"Debe beber abundante agua, por lo menos dos litros diarios",Sapa p’unchay achka unuta upyay.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,medico,formal
Le voy a recetar un antibiótico que debe completar aunque se sienta mejor,Alliyaspapas antibióticota tukuchanaykikama upyay.,4,SEGUIMIENTO_CONTROL_MEDICO,TRATAMIENTO,medico,formal
Necesita aplicarse compresas de agua tibia en la zona afectada,Q’uñi unu llamp’uta churay nanayman.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,medico,formal
"Debe evitar comidas grasosas, picantes y condimentadas por completo","Wira, k’allu mikhunata ama mikhuychu.",0,MANEJO_FIEBRE_PREVENCION,TRATAMIENTO,medico,formal
Es fundamental que regrese en una semana para evaluar su progreso,Huk semanaman kutimuy.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,medico,formal
