espanol,quechua_texto,tipo_habla,nivel_formalidad,tema
Mi hijo tiene mucha tos y no puede dormir por las noches.,"Wawayqa mana allin tosniyuq, tutapi mana puñuyta atinchu.",dialogo medico,formal,tratamiento
Vamos a medir su presión arterial para ver si está estable.,"Yawarpa ñit'iyninta tupusaqku, mana kuyuriqchu icha manachu chayta qhawanaykupaq.",dialogo medico,formal,tratamiento
¿Ha perdido el apetito o el sentido del gusto últimamente?,¿Qhipa watakunapi manaña mikhuyta munankichu nitaq gustotachu munarqanki?,dialogo medico,formal,tratamiento
Siento una debilidad constante en las piernas al caminar.,Purispayqa sapa kutim chakiypi pisi kallpayachkan.,dialogo medico,formal,tratamiento
Le voy a recetar un jarabe para calmar esa irritación de garganta.,Chay kunka nanayta thasnunaypaqmi jarabeta kamachisaq.,dialogo medico,formal,tratamiento
¿Se ha golpeado la rodilla o ha hecho un esfuerzo físico pesado?,¿Qonqoriykita k’irirqankichu icha ima llasa kallpatapas ruwarqanki?,dialogo medico,formal,tratamiento
"Por favor, recuéstese en la camilla para revisar su abdomen.","Ama hina kaspa, examen mesapi puñuy, chaynapi wiksaykita qawanaykupaq.",dialogo medico,formal,tratamiento
¿Cuántas veces al día está yendo al baño con diarrea?,¿Hayka kutitataq sapa punchaw bañoman rin diarreawan?,dialogo medico,formal,tratamiento
Tengo una inflamación en la encía que me impide masticar bien.,"Encía nisqapi inflamación nisqayuqmi kani, chaymi mana allintachu masticayta atini.",dialogo medico,formal,tratamiento
Es necesario que guarde reposo absoluto por lo menos tres días.,Kimsa p’unchawllapas tukuyninpi samarinayki tiyan.,dialogo medico,formal,tratamiento
¿Ha tomado algún remedio casero antes de venir al hospital?,¿Manaraq hospitalman hamushaspa wasiykipi hampikunata hap’irqankichu?,dialogo medico,formal,tratamiento
Me pican mucho los ojos y los tengo muy rojos desde la mañana.,"Ñawiymi anchata picakun, kunan paqarinmantapacham ancha pukayarun.",dialogo medico,formal,tratamiento
"La herida está sanando bien, pero debemos cambiar las vendas.","K’iriqa allintan qhaliyashan, ichaqa vendakunata cambiananchismi.",dialogo medico,formal,tratamiento
¿Siente algún hormigueo o adormecimiento en los dedos de las manos?,¿Dedoykipi imapas chukchuytapas otaq llañuyaytachu sientenki?,dialogo medico,formal,tratamiento
Vamos a programar una cirugía menor para retirar ese quiste.,Chay qusta hurqunapaqmi uchuy operacionta ruwasaqku.,dialogo medico,formal,tratamiento
¿A qué hora fue la última vez que tomó su medicina para la presión?,¿Ima horapitaq qhipa kutita yawar ñit’iy hampita tomarqanki?,dialogo medico,formal,tratamiento
"Doctor, me duele la espalda baja cuando intento agacharme.","Doctor, k’umuykukuyta munaspaymi wasanpa uraynin nanawan.",dialogo medico,formal,tratamiento
Debe beber mucha agua para evitar la deshidratación por el calor.,Ruphaymanta mana yakumanta lluqsinanpaqqa achka yakuta upyanayki tiyan.,dialogo medico,formal,tratamiento
¿Ha tenido náuseas o ganas de vomitar después de almorzar?,¿Nauseaswanchu sientekurqanki otaq almuerzota mikhuspa vomitayta munarqanki?,dialogo medico,formal,tratamiento
El resultado de su radiografía muestra una pequeña fisura en el hueso.,Radiografía ruwasqanpin rikukun tullunpi huch’uy raqrakusqan.,dialogo medico,formal,tratamiento
¿Sufre usted de diabetes o alguna enfermedad del corazón?,¿Diabetes onqoywanchu otaq sonqo kashanki?,dialogo medico,formal,tratamiento
Me siento muy cansado y sin energía a pesar de dormir mucho.,"Ancha sayk’usqa, mana kallpayoq sientekuni askha puñuspapas.",dialogo medico,formal,tratamiento
Lávese bien las manos antes de aplicar esta crema en la zona afectada.,Makinchikta allinta mayllakuna manaraq kay cremata unqusqa kaqman churachkaspa.,entrevista,informal,prevencion
¿En qué comunidad o distrito vive actualmente usted?,¿Mayqin ayllupi utaq distritupitaq kunan tiyanki?,entrevista,informal,prevencion
¿Alguien más en su familia sufre de los mismos síntomas?,¿Aylluykipi huk runapas chayna sintomakunawan ñakarichkan?,entrevista,informal,prevencion
¿Cuenta usted con todas las vacunas del calendario nacional?,¿Llapa vacunakunata chaskirqankichu horario nacional nisqapi?,entrevista,informal,prevencion
¿Qué tipo de alimentos consume con mayor frecuencia en su hogar?,¿Ima clase mikhuykunatataq wasiykipi astawan mikhunki?,entrevista,informal,prevencion
¿Suele beber agua hervida o agua directamente del puquio?,¿T’impusqa unutachu icha pukyumantallachu unuta ukyanki?,entrevista,informal,prevencion
¿A qué edad empezaron sus problemas de visión o audición?,¿Ima watayuqmantataq rikuyninkupi utaq uyariyninkupi sasachakuyninku qallarirqa?,entrevista,informal,prevencion
¿Realiza usted algún tipo de actividad física o trabajo en el campo?,¿Ima clase aychatachu ruwanki icha chakrapi llamk’ankichu?,entrevista,informal,prevencion
¿Ha viajado recientemente a alguna zona de clima tropical o selva?,¿Chayllaraqchu mayqin tropical utaq yunka clima nisqapipas rirqankichu?,entrevista,informal,prevencion
¿Cuántas personas viven con usted en su habitación?,¿Hayka runakunataq qamwan kuska tiyanku cuartoykipi?,entrevista,informal,prevencion
"¿En su casa cocinan con leña, bosta o utilizan cocina a gas?","¿Yanawanchu, wanuwanchu, wasiykipi gas estufawanchu yanukunki?",entrevista,informal,prevencion
¿Ha recibido información sobre cómo prevenir la anemia en los niños?,¿Chaskirqankichu willakuykunata imaynatas wawakunapi anemia onqoyta hark’akunman chaymanta?,entrevista,informal,prevencion
¿Cada cuánto tiempo acude al centro de salud para un chequeo?,¿Hayka kutitataq hampina wasiman rinki qawakunaykipaq?,entrevista,informal,prevencion
¿Tiene alguna mascota o animal de corral dentro de su vivienda?,¿Wasiyki ukupi uywakuna utaq chakra uywakuna kanchu?,entrevista,informal,prevencion
¿Sabe usted cuál es su tipo de sangre y si tiene alergias?,¿Yachankichu yawarniykipa imayna kasqanmanta hinaspa ima alergiayuq kasqaykitapas?,entrevista,informal,prevencion
¿Utiliza algún método de planificación familiar en este momento?,¿Kunanqa ima métodotapas planificación familiar nisqawan yanapachikunkichu?,entrevista,informal,prevencion
¿Alguna vez le han realizado una transfusión de sangre en el pasado?,¿Hayk’aqllapas ñawpaqpi yawarta churarqankichu?,entrevista,informal,prevencion
¿Cómo es el acceso al agua potable y desagüe en su localidad?,"¿Imaynataq llaqtaykipi upyana yakuman, chuya yakuman haykuy?",entrevista,informal,prevencion
¿Ha notado cambios en su estado de ánimo o problemas para dormir?,¿Repararqankichu imayna sientekusqayki cambiasqanmanta otaq puñuypi sasachakuykuna kasqanmanta?,entrevista,informal,prevencion
¿Fuma cigarrillos o consume bebidas alcohólicas frecuentemente?,¿Cigarrotu pitanki otaq sapa kuti machayta tomanki?,entrevista,informal,prevencion
¿Qué medicamentos suele tener en su botiquín de emergencia?,¿Ima hampikunatan sapa kutilla primeros auxilios nisqapi churanki?,entrevista,informal,prevencion
¿A qué se dedica laboralmente y cuántas horas trabaja al día?,"¿Ima llamk’ayniykitaq, hayk’a horatataq sapa p’unchaw llamk’anki?",entrevista,informal,prevencion
¿Ha tenido alguna complicación seria durante sus embarazos anteriores?,¿Ñawpaq wiksayakusqaykipi ima hatun sasachakuykunatapas tarirqankichu?,entrevista,informal,prevencion
¿Sabe cómo actuar en caso de una picadura de insecto venenoso?,¿Yachankichu venenoyuq kurukuna kanikuptin imayna ruwayta?,entrevista,informal,prevencion
¿Ha recibido la charla informativa sobre la importancia de la lactancia?,¿Chaskirqankichu chay willakuy rimayta ñuñuchiy ancha allin kasqanmanta?,entrevista,informal,prevencion
¿Cuál es su peso y talla aproximada según su último control?,"¿Imaynataq yaqa llasayniyki, sayayniykitaq qhipa qhawayniykimanjina?",entrevista,informal,prevencion
¿Siente que el clima de la región afecta su salud respiratoria?,¿Qanpa yuyayniykipiqa chay regionpa climan respiratorio saludniykita afectanchu?,entrevista,informal,prevencion
¿Ha tenido contacto con personas que tengan tuberculosis o tos fuerte?,¿Tuberculosis onqoyniyoq otaq sinchi tosniyoq runakunawan tuparqankichu?,entrevista,informal,prevencion
¿Cómo manejan los residuos sólidos y la basura en su comunidad?,"¿Imaynatataq llaqtaykipi residuos sólidos nisqakunata, basurakunatapas kamachinki?",entrevista,informal,prevencion
¿Cuenta con algún seguro de salud como el SIS para atenderse?,¿Seguro de saludniyuqchu kanki kayhina SIS hampi necesidadniykikunata hunt’anaykipaq?,entrevista,informal,prevencion
¿Ha notado bultos extraños en su cuerpo durante el último mes?,¿Repararqankichu kay pasaq killapi cuerpoykipi ima mana costumbre kaq t’urukuna kasqanmanta?,entrevista,informal,prevencion
¿Qué tan lejos queda el puesto de salud más cercano a su casa?,¿Hayka karutaq wasiykimanta aswan hichpallapi kaq hampina wasi?,entrevista,informal,prevencion
¿Entiende usted las instrucciones que le da el personal médico?,¿Entiendenkichu hampiqkunapa kamachikuyninkunata?,entrevista,informal,prevencion
¿Desea que algún familiar lo acompañe durante la consulta de hoy?,¿Munawaqchu kunan p’unchay citaykipi huk familiayki compañananta?,lectura,formal,prevencion
Es fundamental lavarse las manos con agua y jabón antes de comer.,Manaraq mikhuchkaspa makinchikta jabonwan yakuwan mayllakuyqa ancha allinmi.,lectura,formal,prevencion
La vacunación es la mejor forma de proteger a nuestros hijos de enfermedades.,Vacunacionqa aswan allinmi warmanchikkunata unquykunamanta harkanapaq.,lectura,formal,prevencion
El consumo excesivo de sal y azúcar puede dañar gravemente su salud.,"Kachita, azúcar nisqatapas nishuta mikhuyqa sinchitan qhali kayniykita dañanman.",lectura,C:\Users\CHRISTIAN\Documents\Grabaciones,prevencion
Mantenga los medicamentos fuera del alcance de los niños pequeños.,Huch’uy wawakunaq mana aypananpaq hampikunata waqaychay.,lectura,formal,prevencion
La anemia se previene consumiendo alimentos ricos en hierro como la sangrecita.,"Anemia unquytaqa hark’akunmanmi hierroyuq mikhuykunata mikhuspa, ahinataq yawar salchichata.",lectura,formal,prevencion
Use mosquiteros si vive en zonas donde hay presencia de zancudos.,Sisikuna kasqan cheqaskunapi tiyaspaqa ch’uspi llikata apaykachana.,lectura,formal,prevencion
Es importante hervir el agua durante al menos cinco minutos antes de beberla.,Importantemi yakuta manaraq upyachkaspa pichqa minutollapas timpuchiy.,lectura,formal,prevencion
El chequeo preventivo anual ayuda a detectar enfermedades a tiempo.,Watamanta wata qhawayqa yanapanmi unquykunata temprano riqsiyta.,lectura,formal,prevencion
"No se automedique, siempre consulte con un profesional de la salud.",Ama kikiykita hampikuychu; sapa kuti huk profesional de salud nisqawan tapukuy.,lectura,formal,prevencion
La salud mental es tan importante como la salud física para el bienestar.,"Yuyaypi qhali kayqa ancha allinmi, aycha qhali kay hina allin kawsaypaq.",lectura,formal,prevencion
Limpie frecuentemente las superficies de contacto en su cocina y baño.,Sapa kuti pichay sapa kuti llamisqa hawakunata cocinaykipi hinaspa bañoykipi.,lectura,formal,prevencion
"Durante el embarazo, acuda a todos sus controles prenatales sin falta.","Wiksayuq kachkaspaqa, manaraq nacechkaspa tukuy citaykikunaman riy, mana pantaspa.",lectura,formal,prevencion
El ejercicio diario mejora la circulación y fortalece el corazón.,Sapa punchaw ejercicio ruwayqa allintam yawar purinanpaq yanapan hinaspa sunqunchikta kallpanchan.,lectura,formal,prevencion
Proteja su piel de la radiación solar usando sombrero y bloqueador.,"Intimanta qaranta hark’ay, sombrerowan, intimanta hark’akuqwan ima.",lectura,formal,prevencion
"Una dieta balanceada debe incluir frutas, verduras y menestras.","Allin mikhuypiqa frutakuna, verdurakuna, legumbrekuna ima kanan.",lectura,formal,prevencion
Cubra su boca con el antebrazo al toser o estornudar para no contagiar.,"Tos utaq estornudo kachkaspa simiykita ñawpaq makiwan tapay, mana germenkuna mastarikunanpaq.",lectura,formal,prevencion
El dengue se transmite por la picadura de un mosquito infectado.,Dengue unquyqa unquyniyuq ch’uspip kanisqanwanmi chayan.,lectura,formal,prevencion
Evite acumular agua en recipientes abiertos donde puedan nacer larvas.,Ama yakuta huñunachu kichasqa mankakunapi maypichus larvakuna lluqsiyta atinku.,lectura,formal,prevencion
"Si tiene una emergencia, llame inmediatamente al número de la ambulancia.",Ima sasachakuypas kaptinqa chaylla ambulanciata qayay.,lectura,formal,prevencion
La lactancia materna exclusiva es vital durante los primeros seis meses.,Ñawpaq soqta killakunapiqa ancha allinmi sapallan ñuñuchiyqa.,lectura,formal,prevencion
Acuda al dentista dos veces al año para prevenir las caries dentales.,"Watapi iskay kutita kiru hampiqman watukuy, kirukuna mana ismunanpaq.",lectura,formal,prevencion
Ventile las habitaciones de su casa para permitir la entrada de aire puro.,"Wasiykipi cuartokunata wayrawan yayachiy, chaynapi sumaq wayra yaykumunanpaq.",lectura,formal,prevencion
Siga exactamente las dosis indicadas por el médico en su receta.,Dosiskunata qatipay doctorpa nisqanman hinapuni.,lectura,formal,prevencion
El estrés constante puede causar dolores musculares y migrañas.,"Sapa kuti estrés nisqapiqa aycha nanaymi, migrañapas.",lectura,formal,prevencion
El consumo de tabaco aumenta el riesgo de padecer cáncer de pulmón.,Tabacota ukyayqa pulmonmanta cáncer onqoytan astawan yapan.,lectura,formal,prevencion
Verifique siempre la fecha de vencimiento de sus medicinas.,Sapa kuti qhaway hampikunayki p’unchay tukukuyninta.,lectura,formal,prevencion
Realice ejercicios de estiramiento si trabaja muchas horas sentado.,Unay tiempo tiyaspaqa ejercicios de estiramiento nisqakunata ruway.,lectura,formal,prevencion
La desnutrición infantil afecta el desarrollo cerebral de los menores.,Wawakunapa mana allin mikusqankuqa warmakunapa uma wiñaynintam sasachan.,lectura,formal,prevencion
Use ropa abrigadora durante la temporada de heladas y friaje.,Chiri ruphaypi q’uñi p’achawan churakuy.,lectura,formal,prevencion
Informe al doctor si siente algún efecto secundario por el tratamiento.,Doctorniykiman willay sichus hampichikuymanta ima efectos secundarios kaqtapas rikunki chayqa.,lectura,formal,prevencion
Mantenga su carnet de vacunación en un lugar seguro y accesible.,Vacunación registroykita waqaychay huk allin chaymanta mana sasachakuspalla chayanapaq sitiopi.,lectura,formal,prevencion
El lavado de dientes debe realizarse después de cada comida principal.,Sapa hatun mikhuy tukukuptin kiruykikunata maqchiy.,lectura,formal,prevencion
Evite el contacto directo con personas que presenten síntomas de gripe.,Ama gripeman rikch’akuq sintomakunayuq runakunawanqa allinta tupaychu.,lectura,formal,prevencion
Una comunidad informada es una comunidad más saludable y fuerte.,"Willasqa ayllu llaqtaqa aswan qhali, aswan kallpasapa ayllu llaqtam.",lectura,formal,prevencion
Siente algún dolor punzante al mover el brazo derecho?,¿Paña makiykita kuyuchispa ima sinchi nanaytapas sientenkichu?,lectura,formal,prevencion
Me duele mucho la muela y tengo la cara un poco hinchada.,"Kiruymi anchata nanawan, uyaypas pisillatam punkirun.",lectura,formal,prevencion
El bebé ha estado llorando mucho y tiene la barriga dura.,"Wawaqa anchata waqasqa, sinchi wiksayuq.",lectura,formal,prevencion
¿Ha notado si su orina tiene un color más oscuro de lo normal?,¿Repararqankichu urinayki sapa kutimanta aswan yana kaptin?,lectura,formal,diagnostico
Tome este jarabe de hierbas solo si la tos persiste por la noche.,Kay qura jarabetaqa tutapi tos mana chinkaptinlla upyana.,lectura,formal,diagnostico
"Doctor, siento que me falta el aire cuando subo las escaleras.","Doctor, escaleraman wichaspayqa pisi samayniyuqmi tarikuni.",lectura,formal,diagnostico
¿Se ha puesto la vacuna contra la influenza este año?,¿Kay wata gripe vacunata hap’irqankichu?,lectura,formal,diagnostico
"Por favor, abra la boca y diga ""ah"" para revisar sus amígdalas.","Ama hina kaspa, simiykita kichaspa ""ah"" niy, chaynapi amígdalas nisqaykikunata qawanaypaq.",lectura,formal,diagnostico
¿Siente que el dolor se desplaza hacia su espalda o se queda aquí?,¿Wasanmanchu nanayqa kuyuchkanman hinachu icha kaypichu qipanman?,lectura,formal,diagnostico
Necesito que guarde reposo y no levante objetos pesados por una semana.,"Necesitayki samarinaykita, manataq llasa kaqkunata huk semanata hoqarinaykita.",lectura,formal,diagnostico
¿Ha tenido mareos después de tomar el medicamento que le receté?,¿Qanchu umayki muyurirqanki kamachisqay hampita tomaspayki?,lectura,formal,diagnostico
"La presión está un poco alta, vamos a esperar diez minutos y medirla de nuevo.",Yawar ñit’iyniykiqa pisillatan yapakun; chunka minututa suyaspa hukmanta hap'isunchik.,lectura,formal,diagnostico
¿Ha usado alguna pomada o crema antes de venir a la consulta?,¿Manaraq citaman hamushaspa ima pomadatapas otaq crematapas utilizarqankichu?,lectura,formal,diagnostico
Siento un ardor constante en la garganta después de comer.,Mikhusqay qhepamanmi sapa kutilla kunkaypi ruphachiwan.,lectura,formal,diagnostico
Vamos a limpiar esta herida con suero fisiológico para evitar infecciones.,Kay k’iritaqa salina solucionwanmi pichasaqku mana infección kananpaq.,lectura,formal,diagnostico
¿Cuántas horas ha dormido usted en promedio esta última semana?,¿Hayka horatataq kay pasaq semanapi promediopi puñurqanki?,lectura,formal,diagnostico
Mi hija tiene unas manchitas rojas detrás de las orejas.,Ususiyqa rinrinpa qhipanpi wakin puka ch’iqchiyuq.,lectura,formal,diagnostico
¿Es la primera vez que siente este tipo de malestar estomacal?,¿Kaychu ñawpaq kuti kayhina wiksa nanayniyuq kanki?,lectura,formal,diagnostico
Debe terminar todo el tratamiento de antibióticos aunque ya se sienta mejor.,Antibióticos nisqawan tukuy kursuta tukunayki tiyan allinña sientekunki chaypas.,lectura,formal,diagnostico
¿Ha tenido algún problema para ver de lejos o nota la vista nublada?,¿Ima sasachakuypas karqanchu karuta rikuspa otaq mana allintachu rikusqaykita?,lectura,formal,diagnostico
"Por favor, relaje los hombros para poder examinar su columna.","Ama hina kaspa, hombroykikunata samachiy, chaynapi columna vertebralnikita qawanaykupaq.",lectura,formal,diagnostico
¿Siente alguna molestia al pasar los alimentos o solo cuando bebe agua?,¿Ima mana allinpas sientekunkichu mikhunata millp’uspa otaq unuta ukyaspalla?,lectura,formal,diagnostico
Le voy a dar una orden para que se tome una radiografía de tórax.,Huk pedidota qusqayki radiografía de pecho ruwanaykipaq.,lectura,formal,diagnostico
¿Ha tenido fiebre superior a los treinta y ocho grados hoy?,¿Kunan punchaw 38 grados Celsiusmanta aswan hatun fiebreyuqchu kanki?,lectura,formal,diagnostico
¿Cuál es el nombre de la comunidad donde nació usted?,¿Ima sutitaq maypi paqarisqayki ayllu?,entrevista,formal,diagnostico
¿Sabe si sus padres sufrieron de enfermedades del corazón o pulmón?,¿Yachankichu tayta-mamayki sonqo onqoywan otaq pulmonwan onqosqa kasqankuta?,entrevista,formal,diagnostico
¿Qué tipo de animales crían en su hogar para el consumo propio?,¿Imayna uywakunatataq wasiykipi uywanki kikiykipa mikunaykipaq?,entrevista,formal,diagnostico
¿A qué distancia se encuentra el río o manantial más cercano?,¿Hayka karutaq aswan qaylla mayu utaq pukyu?,entrevista,formal,diagnostico
¿Ha trabajado alguna vez en minas o lugares con mucho polvo?,¿Hayk’aqllapas llank’arqankichu minakunapi otaq ñut’u allpakunapi?,entrevista,formal,diagnostico
¿Utiliza usted plantas medicinales para calmar los dolores de cabeza?,¿Hampi yurakunatachu uma nanayta pisiyachinki?,entrevista,formal,diagnostico
¿Desde cuándo presenta estos síntomas y con qué intensidad comenzaron?,"¿Hayk’a unayñan kay sintomakunata rikunki, qallariqtintaq hayk’a sinchi karqan?",entrevista,formal,diagnostico
¿Es alérgico a algún medicamento o alimento?,¿Ima hampikunamanpas otaq ima mikhuykunamanpas alergiayoqchu kanki?,entrevista,formal,diagnostico
Necesitamos tomarle una muestra de sangre para realizar los análisis correspondientes.,Yawarta hurqunanchikmi pruebapaq.,entrevista,formal,diagnostico
¿Ha tenido cirugías previas o alguna hospitalización reciente?,¿Ñawpaqpi operachikurqankichu otaq chayllaraq hospitalman yaykuchirqankichu?,entrevista,formal,diagnostico
"Por favor, mantenga el brazo extendido mientras le colocamos la inyección.","Ama hina kaspa, makiykita mast’ariy inyecciónta quchkaptiyku.",entrevista,formal,diagnostico
¿Está tomando actualmente algún tratamiento médico?,¿Kunanqa ima hampitapas upyachkanki?,entrevista,formal,diagnostico
Es importante que permanezca en ayunas antes del examen.,Importantemi manaraq prueba kashaqtin ayunay.,entrevista,formal,diagnostico
Vamos a monitorear sus signos vitales durante las próximas horas.,Qatiqnin horakunapim qawasaqku señales vitales nisqaykikunata.,entrevista,formal,diagnostico
"Si el dolor aumenta, avise inmediatamente al personal de enfermería.","Sichus nanay yapakun chayqa, ama hina kaspa enfermerakunaman willay chaylla.",entrevista,formal,diagnostico
Debe programar una cita de control dentro de quince días.,Iskay semanamantam qatipanaykipaq cita ruwanayki.,entrevista,formal,diagnostico
"Buenos días Doctor, vengo porque me siento muy mal desde hace varios días","Allin punchay , hampiq ashkay punchawkunaña mana allinchu Kani ,chayraykun hamuni",desconocido,desconocido,desconocido
"Buenas tardes Doctor, mi nombre es María y tengo una cita programada","doktura, noqaq sutiymi María,chaymanta huk  cita programasqaymi kani",desconocido,desconocido,desconocido
"Hola Doctor, disculpe la demora pero tuve problemas para llegar","Allin p'unchay doktura .Pampachaykuway qhipasqa hamusqayta, chaymi sasachakuykuna karqan chayamunaypaq",desconocido,desconocido,desconocido
"Doctor, muchas gracias por atenderme en este horario","Doktur, anchata yupaychani Kay pachapi atiwaqkita",desconocido,desconocido,desconocido
"Doctor, vengo referida por el médico del centro de salud de mi comunidad",Doktura aylluy postamanta hampiqpa apachisqanmi hamuni,desconocido,desconocido,desconocido
"Buenos días, necesito que me examine porque tengo varios síntomas preocupantes","Allin p'unchay,qanta mañakuni nuqata qhawaykita,achka unquykunan kani chaymi llakikuywan  kashani",desconocido,desconocido,desconocido
"Buenas tardes Doctor, he venido a recoger los resultados de mis análisis","Allin sukha,doctur.noqaqa qhawaypa kutichisqankunata hap'ichiq hamurqani",desconocido,desconocido,desconocido
"Doctor, me han dicho que usted es especialista en este tipo de problemas","Doktur, nirqankuqa qanmi Kay hina sasachakuykunapi yachaq kanki",desconocido,desconocido,desconocido
"Doctor, esta es mi primera vez en este centro médico","Doktura ,kayqa ñuqapa huk kutiñan  Kay hampina wasiman hamuni",desconocido,desconocido,desconocido
"Buenos días, vengo acompañando a mi madre que no se siente bien","Allin p'unchay, mamayta yanapaykuspa hamuni,payqa mana allinchu kashan",desconocido,desconocido,desconocido
"Doctor, me duele mucho la cabeza desde hace tres días y no se me quita","Doktor ,kinsa p'unchaymanta pacha umayqa anchata nanaykuwashan manan Chay nanayqa chinkanchu",desconocido,desconocido,desconocido
Tengo un dolor muy fuerte en el estómago que aparece después de comer,Mikhuyta tukuruspan wiksayqa anchata nanaykuhuan,desconocido,desconocido,desconocido
Me duele el pecho cuando respiro profundo o cuando me muevo,Sumaqta samaykuyta hap'irqaptin utaq kuyiriktin sunquy nanaykuwan,desconocido,desconocido,desconocido
Siento un dolor punzante en la espalda baja que no me deja dormir,"Qhipa uranpi nanayqa t'iksichkallañam kashan ,chaymi puñuyta mana saqiwanchu",desconocido,desconocido,desconocido
"Doctor, el dolor en mis rodillas ha empeorado con el frío",Doktor chiriwan ñuqaq muqoykunapi nanayqa  astawanmi nanaykushan,desconocido,desconocido,desconocido
Tengo dolores musculares en todo el cuerpo y me siento muy débil,Llapa cuerpoypi aychay nanaykushan anchata waqlla kashani,desconocido,desconocido,desconocido
Me duele mucho la garganta al tragar y tengo la voz ronca,"Mikuyta millp'uchkaptin sunquykuna manaqa anchata nanaykuhuan ,hinallataq  rimayniyqa q'ipim kashan ",desconocido,desconocido,desconocido
Siento un dolor agudo en el costado derecho que viene y se va,Paña ladunpin nanayqa t'iksichkallañan  hamuni chaymanta ripun,desconocido,desconocido,desconocido
"Doctor, me duelen los oídos y siento presión en la cabeza","Doktur ,rinrikuna nanaykuwashan, umaypiqa ñit'iyta hina rikch""akun",desconocido,desconocido,desconocido
Tengo un dolor constante en el cuello que se extiende hasta los hombros,Kunkaypi nanayqa Sapa kutin kashan Chay nanayqa rikra kamallan chayamun,desconocido,desconocido,desconocido
Me duele mucho una muela y tengo la cara hinchada de ese lado,"Huk kiruymi anchata nanawan, Chay  uyayqa punkisqa kashan ",desconocido,desconocido,desconocido
Siento ardor y dolor al orinar desde hace dos días,"Iskay p'unchaymantaña ,ismutay ruwaspa nina hina q'alaqmi,anchata nanawan.",desconocido,desconocido,desconocido
"Doctor, tengo calambres muy fuertes en las piernas por las noches","Doktur ,tutakunapi chakiykunapi anchata kallpa tiksichkallañan nanawan",desconocido,desconocido,desconocido
Me duele el abdomen del lado izquierdo y también tengo náuseas,"Lluq'i llaqtaymata. Wiksay anchata nanawan, hinallataq sonqo muyuywan kashani",desconocido,desconocido,desconocido
Siento un dolor punzante detrás de los ojos que empeora con la luz,Ñawikuna qhipanpi T'iksiy hina anchata nanawan K'anchaywanqa Aswan kalpachkanmi,desconocido,desconocido,desconocido
"Doctor, me duelen todas las articulaciones cuando me levanto por la mañana",Doktura paqarinanpi sayarispa llapan tulluykuna anchata nanawan,desconocido,desconocido,desconocido
Tengo un dolor muy intenso en el talón que no me deja caminar bien,"Chakipa t'iqrinpi anchata kallpa nanaymi kashan , Allin puriyta mana atiniychu",desconocido,desconocido,desconocido
Me duele el brazo derecho y siento hormigueo en los dedos,"Allin makiypi ancha nanaymi, hinallataq ruk'anakunapi kiskichkallañam",desconocido,desconocido,desconocido
Siento presión y dolor en el pecho que me asusta mucho,"Ñuqaqa sunquypa t'iqrinpi ñit'iyta hina apretaymi  , hinallataq anchata manchachiwan",desconocido,desconocido,desconocido
"Doctor, tengo dolor de muelas que no me deja comer ni dormir","Doktor kiruymi ancha nanaymi, mana Mikuyta ni puñuyta atiniychu",desconocido,desconocido,desconocido
Me duele la parte baja del abdomen y también tengo fiebre,"Wiksaypi uraypi ancha nanaymi, hinallataq K'anchaywanqa kashan",desconocido,desconocido,desconocido
Siento un dolor sordo en la zona del hígado que me preocupa,Ñuqapa hígado kaq patapi  pisi pisi nanay manchaciwashan,desconocido,desconocido,desconocido
"Doctor, me duelen los huesos como si tuviera gripe",Doktur Llapa tulluykuna nanawan gripe hina nanaywan,desconocido,desconocido,desconocido
Tengo un dolor pulsátil en la sien derecha que dura horas,"Paña sienapi t'iksichkallañan nanay kashan, horakunata mana tukuchispa",desconocido,desconocido,desconocido
Me duele el estómago y siento que me arde por dentro,"Wiksay nanawan,ukhuypi nina hina ruphayta sientikuni ",desconocido,desconocido,desconocido
"Doctor, tengo fiebre alta desde anoche y no me baja con nada","Doktur tutamanta Aswan ruphaywan kashani,imaywanpas mana uraykinchu",desconocido,desconocido,desconocido
Me siento muy débil y cansado aunque descanse todo el día,"Ancha pisi kallpayuqmi kani,llapan p'unchaymantaña samaqtiypas",desconocido,desconocido,desconocido
Tengo escalofríos y sudores nocturnos que me despiertan,Chiri chiriwanmi kani tutaqa ñaq'achkani ch'iqchiwan chaymi puñuyniyta p'a dekichin,desconocido,desconocido,desconocido
"Doctor, mi temperatura sube y baja constantemente durante el día","Doktur, p'unchaypi  ruphayniyqa wicharin hinaspa uraykun Sapa kutin ",desconocido,desconocido,desconocido
Me siento mareado y con náuseas casi todo el tiempo,"Umayqa muyunmi , hinallataq millay onqoyniywanmi kani Aswan p'unchaykama",desconocido,desconocido,desconocido
Tengo mucha fiebre acompañada de dolor de cuerpo,Anchata ruphayniyuqmi kani aychayqa nanayshanmi,desconocido,desconocido,desconocido
"Doctor, sudo mucho por las noches y amanezco con la ropa empapada",Duktur tutapi anchata unp'ni paqarinnita p'achayqa llapan uno hina kashan,desconocido,desconocido,desconocido
Me siento muy cansado y sin energía para hacer mis actividades diarias,"Anchata sayk'usqallaña kani,mana kallpayuqmi kani Sapa p'unchay ruwanaykunapaq",desconocido,desconocido,desconocido
Tengo la sensación de que me voy a desmayar cuando me pongo de pie,Sayarispa desmayayman hina  yuyaymi kani,desconocido,desconocido,desconocido
